time	vel
3.406319032567169e-04	-2.176446208812521e-06
1.083199519384955e-03	2.588981822533587e-05
1.825564856129881e-03	8.475311876833536e-05
2.568284181795596e-03	8.972160612086277e-05
3.310497809003041e-03	1.716826837454832e-04
4.053217134668757e-03	1.766511710980107e-04
4.795633041259514e-03	2.278152126138078e-04
5.537897238312783e-03	3.020770312111981e-04
6.280161435366055e-03	3.763388498086023e-04
7.022526772110980e-03	4.352021503516018e-04
7.764639259626768e-03	5.325617460306270e-04
8.506701177296731e-03	6.376206007368684e-04
9.248813664812519e-03	7.349801964158936e-04
9.990875582482489e-03	8.400390511221351e-04
1.073278579061497e-02	9.681956829100113e-04
1.147479713843910e-02	1.080953796643455e-03
1.221665677672576e-02	1.216809687458520e-03
1.295856698485823e-02	1.344966319246368e-03
1.370027491360741e-02	1.503919987143068e-03
1.444203341220240e-02	1.655174396012565e-03
1.518374134095157e-02	1.814128063909251e-03
1.592544926970075e-02	1.973081731805951e-03
1.666700548891244e-02	2.155133176784271e-03
1.740846056843248e-02	2.352583139817011e-03
1.814991564795251e-02	2.550033102849736e-03
1.889142129731837e-02	2.739783806855273e-03
1.963282580699258e-02	2.944933028915228e-03
2.037412917697513e-02	3.165480769029574e-03
2.111538197711185e-02	3.393727768171137e-03
2.185663477724858e-02	3.621974767312700e-03
2.259783700753948e-02	3.857921025481492e-03
2.333888752829289e-02	4.116965060731892e-03
2.407983690935465e-02	4.391407614036710e-03
2.482088743010807e-02	4.650451649287096e-03
2.556188738101566e-02	4.917194943564712e-03
2.630273562238577e-02	5.207036014923977e-03
2.704348272406423e-02	5.512275604337619e-03
2.778428039558850e-02	5.809815934724058e-03
2.852492635757530e-02	6.130454042192118e-03
2.926552174971627e-02	6.458791408687381e-03
3.000611714185724e-02	6.787128775182671e-03
3.074666196415238e-02	7.123165400705136e-03
3.148710564675587e-02	7.474600544282048e-03
3.222744818966771e-02	7.841434205913364e-03
3.296779073257954e-02	8.208267867544680e-03
3.370813327549137e-02	8.575101529175996e-03
3.444842524855738e-02	8.949634449834515e-03
3.518861608193173e-02	9.339565888547452e-03
3.592870577561443e-02	9.744895845314808e-03
3.666894717883461e-02	1.012712802500053e-02
3.740913801220896e-02	1.051705946371347e-02
3.814917713604583e-02	1.093008867950804e-02
3.888931739957437e-02	1.132771937724819e-02
3.962925538371957e-02	1.175614711109715e-02
4.036944621709393e-02	1.214607854981009e-02
4.110953591077662e-02	1.255140850657746e-02
4.184957503461349e-02	1.296443772237202e-02
4.258961415845036e-02	1.337746693816658e-02
4.332970385213306e-02	1.378279689493395e-02
4.406999582519906e-02	1.415732981559246e-02
