time	force
8.209915277953561e-04	2.709927171907371e+01
6.421599032853664e-03	2.709864942935092e+01
1.622266216670565e-02	2.709756042233605e+01
2.602372530055763e-02	2.709647141532118e+01
3.162433280561588e-02	2.709584912559840e+01
4.142539593946787e-02	2.709476011858353e+01
5.122645907331985e-02	2.709367111156865e+01
5.682706657837816e-02	2.709304882184587e+01
7.363822343939475e-02	2.695894538658586e+01
7.923883094445305e-02	2.695832309686308e+01
8.343928657324673e-02	2.695785637957099e+01
8.903989407830504e-02	2.695723408984821e+01
9.882928927985479e-02	2.712144079044790e+01
1.030180769763463e-01	2.728626978077038e+01
1.085953486168002e-01	2.761623890627673e+01
1.127631340351477e-01	2.807860017030543e+01
1.141446172197287e-01	2.834291773005804e+01
1.210893705260010e-01	2.913555926445448e+01
1.224708537105820e-01	2.939987682420709e+01
1.294132734303939e-01	3.022557750012645e+01
1.307970902014354e-01	3.045683591835615e+01
1.405281457414742e-01	3.144752115702868e+01
1.391466625568931e-01	3.118320359727607e+01
1.502732028002756e-01	3.223985154656373e+01
1.530595050340420e-01	3.243789525083982e+01
1.558458072678085e-01	3.263593895511590e+01
1.586274423286541e-01	3.290010094243782e+01
1.642093811420289e-01	3.316395178489834e+01
1.683911680791391e-01	3.342795819978956e+01
1.753639244229366e-01	3.382389003591105e+01
1.823436815261155e-01	3.412064444746379e+01
1.865324692226070e-01	3.428547343778627e+01
1.921097408630609e-01	3.461544256329262e+01
1.990894979662398e-01	3.491219697484536e+01
2.046784375389958e-01	3.507687039273713e+01
2.102627099388310e-01	3.530766209367475e+01
2.144561648082435e-01	3.540637280095140e+01
2.270295286570992e-01	3.580168234735009e+01
2.326208018163157e-01	3.593329662371897e+01
2.521949250464944e-01	3.632782830796418e+01
2.647776232411920e-01	3.659090128827123e+01
2.745693520292022e-01	3.672204884734801e+01
2.787698076579960e-01	3.672158213005592e+01
2.969484461848310e-01	3.705015110368601e+01
3.025443865169684e-01	3.711564709700905e+01
3.123361153049785e-01	3.724679465608583e+01
3.221278440929888e-01	3.737794221516261e+01
3.277284515980471e-01	3.737731992543982e+01
3.445162725944593e-01	3.757380790540896e+01
3.501122129265967e-01	3.763930389873200e+01
3.683048529721943e-01	3.776951802322460e+01
3.752962780076753e-01	3.790097672716277e+01
3.920887661770085e-01	3.803134642408607e+01
3.976893736820667e-01	3.803072413436329e+01
4.144818618513997e-01	3.816109383128659e+01
4.200824693564580e-01	3.816047154156381e+01
4.298741981444683e-01	3.829161910064059e+01
4.396659269324785e-01	3.842276665971737e+01
4.452665344375368e-01	3.842214436999458e+01
4.550675975713888e-01	3.842105536297971e+01
4.648686607052408e-01	3.841996635596484e+01
4.704646010373782e-01	3.848546234928789e+01
4.802609969983093e-01	3.855049162531884e+01
4.886619082558966e-01	3.854955819073466e+01
4.942531814151132e-01	3.868117246710353e+01
5.124551558065527e-01	3.867915002550448e+01
5.180557633116109e-01	3.867852773578170e+01
5.376485552334730e-01	3.880858628784361e+01
5.432491627385313e-01	3.880796399812083e+01
5.530502258723833e-01	3.880687499110595e+01
5.628512890062353e-01	3.880578598409107e+01
5.684518965112936e-01	3.880516369436829e+01
5.880493556060767e-01	3.886910396338438e+01
5.936452959382141e-01	3.893459995670742e+01
6.104471184533889e-01	3.893273308753906e+01
6.160477259584473e-01	3.893211079781628e+01
6.216483334635055e-01	3.893148850809349e+01
6.272489409685638e-01	3.893086621837071e+01
6.314493965973574e-01	3.893039950107863e+01
6.496513709887969e-01	3.892837705947957e+01
6.538518266175906e-01	3.892791034218749e+01
6.720538010090300e-01	3.892588790058844e+01
6.776544085140883e-01	3.892526561086565e+01
6.874461373020985e-01	3.905641316994244e+01
6.972565347817923e-01	3.892308759683591e+01
7.028571422868505e-01	3.892246530711313e+01
7.126582054207025e-01	3.892137630009825e+01
7.224592685545546e-01	3.892028729308338e+01
7.280552088866921e-01	3.898578328640642e+01
7.476620023273168e-01	3.891748698933085e+01
7.532626098323749e-01	3.891686469960807e+01
7.700644323475498e-01	3.891499783043972e+01
7.756650398526082e-01	3.891437554071693e+01
7.798654954814019e-01	3.891390882342484e+01
7.854661029864600e-01	3.891328653370206e+01
7.952671661203121e-01	3.891219752668719e+01
8.008677736253704e-01	3.891157523696440e+01
