vel	force
9.250458758763430e-04	2.777626887793935e+01
6.717639862607622e-03	2.716929055001402e+01
1.251023384933891e-02	2.641056764010736e+01
1.652049122476826e-02	2.565184473020070e+01
2.053074860019762e-02	2.493105796578937e+01
2.320425351715052e-02	2.424820734687337e+01
2.498659012845245e-02	2.356535672795738e+01
2.810567919823084e-02	2.314805912750871e+01
3.077918411518374e-02	2.276869767255538e+01
3.389827318496212e-02	2.238933621760205e+01
3.568060979626406e-02	2.200997476264872e+01
3.969086717169341e-02	2.151680487120939e+01
4.147320378299535e-02	2.106157112526539e+01
4.370112454712276e-02	2.064427352481673e+01
4.548346115842469e-02	2.026491206986340e+01
4.682021361690115e-02	1.996142290590073e+01
4.860255022820308e-02	1.969586988743340e+01
5.038488683950501e-02	1.935444457797540e+01
5.172163929798147e-02	1.901301926851740e+01
5.394956006210888e-02	1.878540239554541e+01
5.573189667341082e-02	1.855778552257341e+01
5.795981743753822e-02	1.833016864960141e+01
5.974215404884016e-02	1.814048792212474e+01
6.152449066014211e-02	1.779906261266675e+01
6.197007481296757e-02	1.757144573969475e+01
6.241565896579306e-02	1.723002043023675e+01
6.330682727144403e-02	1.688859512077875e+01
6.375241142426952e-02	1.662304210231142e+01
6.508916388274597e-02	1.624368064735809e+01
6.642591634122240e-02	1.582638304690943e+01
6.731708464687337e-02	1.552289388294676e+01
6.731708464687337e-02	1.518146857348876e+01
6.776266879969886e-02	1.487797940952610e+01
6.776266879969886e-02	1.453655410006810e+01
6.731708464687337e-02	1.415719264511477e+01
6.731708464687337e-02	1.381576733565677e+01
6.687150049404789e-02	1.355021431718944e+01
6.642591634122240e-02	1.324672515322677e+01
6.598033218839694e-02	1.294323598926411e+01
6.464357972992048e-02	1.263974682530145e+01
6.330682727144403e-02	1.229832151584345e+01
6.107890650731662e-02	1.199483235188078e+01
6.018773820166565e-02	1.169134318791812e+01
5.795981743753822e-02	1.146372631494612e+01
5.617748082623630e-02	1.123610944197412e+01
5.394956006210888e-02	1.100849256900212e+01
5.127605514515599e-02	1.085674798702079e+01
4.815696607537759e-02	1.066706725954412e+01
4.592904531125018e-02	1.043945038657213e+01
4.370112454712276e-02	1.021183351360013e+01
4.102761963016986e-02	9.946280495132797e+00
3.924528301886793e-02	9.794535913151464e+00
3.701736225474052e-02	9.566919040179464e+00
3.434385733778759e-02	9.377238312702801e+00
3.211593657366019e-02	9.225493730721468e+00
2.944243165670728e-02	9.149621439730801e+00
2.721451089257987e-02	9.111685294235468e+00
2.498659012845245e-02	9.187557585226134e+00
2.231308521149955e-02	9.301366021712134e+00
2.053074860019762e-02	9.377238312702801e+00
1.785724368324472e-02	9.491046749188797e+00
1.518373876629181e-02	9.604855185674797e+00
1.161906554368794e-02	9.680727476665464e+00
